"","x"
"Cell855","1"
"Cell856","1"
"Cell857","1"
"Cell858","5"
"Cell859","3"
"Cell860","7"
"Cell861","1"
"Cell862","1"
"Cell863","7"
"Cell864","3"
"Cell865","2"
"Cell866","1"
"Cell867","2"
"Cell868","8"
"Cell869","1"
"Cell870","3"
"Cell871","4"
"Cell872","6"
"Cell873","5"
"Cell874","3"
"Cell875","1"
"Cell876","1"
"Cell877","3"
"Cell878","8"
"Cell879","1"
"Cell880","2"
"Cell881","3"
"Cell882","2"
"Cell883","1"
"Cell884","3"
"Cell885","1"
"Cell886","3"
"Cell887","3"
"Cell888","2"
"Cell889","3"
"Cell890","1"
"Cell891","3"
"Cell892","5"
"Cell893","2"
"Cell894","1"
"Cell895","3"
"Cell896","1"
"Cell897","1"
"Cell898","1"
"Cell899","4"
"Cell900","4"
"Cell901","3"
"Cell902","4"
"Cell903","2"
"Cell904","5"
"Cell905","5"
"Cell906","1"
"Cell907","3"
"Cell908","2"
"Cell909","5"
"Cell910","2"
"Cell911","1"
"Cell912","4"
"Cell913","2"
"Cell914","4"
"Cell915","2"
"Cell916","7"
"Cell917","1"
"Cell918","2"
"Cell919","3"
"Cell920","1"
"Cell921","3"
"Cell922","2"
"Cell923","1"
"Cell924","6"
"Cell925","2"
"Cell926","1"
"Cell927","4"
"Cell928","1"
"Cell929","3"
"Cell930","2"
"Cell931","2"
"Cell932","7"
"Cell933","9"
"Cell934","2"
"Cell935","3"
"Cell936","2"
"Cell937","1"
"Cell938","2"
"Cell939","5"
"Cell940","7"
"Cell941","4"
"Cell942","3"
"Cell943","4"
"Cell944","4"
"Cell945","1"
"Cell946","2"
"Cell947","1"
"Cell948","2"
"Cell949","1"
"Cell950","3"
"Cell951","6"
"Cell952","1"
"Cell953","2"
"Cell954","1"
"Cell955","1"
"Cell956","10"
"Cell957","6"
"Cell958","3"
"Cell959","7"
"Cell960","5"
"Cell961","1"
"Cell962","2"
"Cell963","3"
"Cell964","4"
"Cell965","4"
"Cell966","2"
"Cell967","2"
"Cell968","6"
"Cell969","2"
"Cell970","1"
"Cell971","2"
"Cell972","1"
"Cell973","2"
"Cell974","5"
"Cell975","2"
"Cell976","7"
"Cell977","5"
"Cell978","4"
"Cell979","1"
"Cell980","1"
"Cell981","10"
"Cell982","7"
"Cell983","8"
"Cell984","1"
"Cell985","1"
"Cell986","1"
"Cell987","5"
"Cell988","1"
"Cell989","5"
"Cell990","3"
"Cell991","9"
"Cell992","5"
"Cell993","1"
"Cell994","4"
"Cell995","4"
"Cell996","2"
"Cell997","7"
"Cell998","2"
"Cell999","1"
"Cell1000","6"
"Cell1001","5"
"Cell1002","5"
"Cell1003","4"
"Cell1004","1"
"Cell1005","9"
"Cell1006","1"
"Cell1007","1"
"Cell1008","1"
"Cell1009","1"
"Cell1010","2"
"Cell1011","1"
"Cell1012","1"
"Cell1013","2"
"Cell1014","1"
"Cell1015","8"
"Cell1016","3"
"Cell1017","1"
"Cell1018","5"
"Cell1019","8"
"Cell1020","5"
"Cell1021","4"
"Cell1022","3"
"Cell1023","1"
"Cell1024","1"
"Cell1025","3"
"Cell1026","3"
"Cell1027","4"
"Cell1028","9"
"Cell1029","1"
"Cell1030","2"
"Cell1031","2"
"Cell1032","3"
"Cell1033","8"
"Cell1034","2"
"Cell1035","2"
"Cell1036","4"
"Cell1037","1"
"Cell1038","3"
"Cell1039","1"
"Cell1040","1"
"Cell1041","2"
"Cell1042","3"
"Cell1043","6"
"Cell1044","5"
"Cell1045","5"
"Cell1046","1"
"Cell1047","4"
"Cell1048","1"
"Cell1049","2"
"Cell1050","2"
"Cell1051","1"
"Cell1052","1"
"Cell1053","1"
"Cell1054","2"
"Cell1055","8"
"Cell1056","2"
"Cell1057","2"
"Cell1058","1"
"Cell1059","2"
"Cell1060","4"
"Cell1061","5"
"Cell1062","1"
"Cell1063","3"
"Cell1064","4"
"Cell1065","1"
"Cell1066","3"
"Cell1067","1"
"Cell1068","3"
"Cell1069","1"
"Cell1070","3"
"Cell1071","3"
"Cell1072","10"
"Cell1073","1"
"Cell1074","1"
"Cell1075","6"
"Cell1076","4"
"Cell1077","1"
"Cell1078","1"
"Cell1079","3"
